"date","location","count of orders","average click to ship","average ship to porch"
"2022-07-06 00:00:00","HQ DC : HQ DC - goodr.com",2519,4.5789,6.4270
"2022-07-06 00:00:00","HQ DC : HQ DC - sellgoodr",157,3.8290,5.6135
"2022-07-07 00:00:00","HQ DC : HQ DC - goodr.com",2328,4.2832,5.9748
"2022-07-07 00:00:00","HQ DC : HQ DC - sellgoodr",68,3.7787,6.0845
"2022-07-08 00:00:00","HQ DC : HQ DC - sellgoodr",62,3.5201,5.7949
"2022-07-08 00:00:00","HQ DC : HQ DC - goodr.com",2423,4.2392,4.5441
"2022-07-09 00:00:00","HQ DC : HQ DC - goodr.com",2899,3.3161,4.4957
"2022-07-09 00:00:00","HQ DC : HQ DC - sellgoodr",30,2.4902,6.0013
"2022-07-10 00:00:00","HQ DC : HQ DC - goodr.com",2960,3.1717,4.7146
"2022-07-10 00:00:00","HQ DC : HQ DC - sellgoodr",28,2.2678,5.5297
"2022-07-11 00:00:00","HQ DC : HQ DC - sellgoodr",78,2.3968,6.3642
"2022-07-11 00:00:00","HQ DC : HQ DC - goodr.com",2764,2.3803,4.7450
"2022-07-12 00:00:00","HQ DC : HQ DC - goodr.com",3003,1.4925,4.5979
"2022-07-12 00:00:00","HQ DC : HQ DC - sellgoodr",56,3.0974,6.3310
"2022-07-13 00:00:00","HQ DC : HQ DC - goodr.com",2467,0.9386,4.7654
"2022-07-13 00:00:00","HQ DC : HQ DC - sellgoodr",68,1.9258,6.3639
"2022-07-14 00:00:00","HQ DC : HQ DC - sellgoodr",59,0.9646,6.0388
"2022-07-14 00:00:00","HQ DC : HQ DC - goodr.com",2189,0.6471,5.1074
"2022-07-15 00:00:00","HQ DC : HQ DC - sellgoodr",45,2.7055,4.7323
"2022-07-15 00:00:00","HQ DC : HQ DC - goodr.com",3224,1.9025,5.1419
"2022-07-16 00:00:00","HQ DC : HQ DC - goodr.com",2751,2.5044,4.2845
"2022-07-16 00:00:00","HQ DC : HQ DC - sellgoodr",30,2.6374,5.9208
"2022-07-17 00:00:00","HQ DC : HQ DC - goodr.com",2985,2.1901,4.4297
"2022-07-17 00:00:00","HQ DC : HQ DC - sellgoodr",20,1.7853,5.1583
